"","CAD CDW ID","CAD Event Number","General Offense Number","Event Clearance Code","Event Clearance Description","Event Clearance SubGroup","Event Clearance Group","Event Clearance Date","Hundred Block Location","District/Sector","Zone/Beat","Census Tract","Longitude","Latitude","Incident Location","Initial Type Description","Initial Type Subgroup","Initial Type Group","At Scene Time","dist_mgh"
"60","87124",4.94082955233522e-314,9.93245042063663e-315,"460","TRAFFIC (MOVING) VIOLATION","TRAFFIC RELATED CALLS","TRAFFIC RELATED CALLS","10/07/2010 01:17:00 AM","XX BLOCK OF NE CAMPUS PKY","U","U2","5302.1008",-122.312702352,47.65598152,"(47.65598152, -122.312702352)","","","","",0.00480882256632042
"61","87325",4.94082956468686e-314,9.93245054415305e-315,"245","DISTURBANCE, OTHER","DISTURBANCES","DISTURBANCES","10/07/2010 12:46:00 AM","42XX BLOCK OF 15TH AVE NE","U","U2","5302.3003",-122.31205179,47.659041293,"(47.659041293, -122.31205179)","","","","",0.00570516192478249
"62","87452",4.9408293542149e-314,9.93244843943339e-315,"470","PARKING VIOLATION (EXCEPT ABANDONED VEHICLES)","PARKING VIOLATIONS","TRAFFIC RELATED CALLS","10/06/2010 04:44:00 PM","38XX BLOCK OF 15TH AVE NE","U","U2","5302.2003",-122.312178882,47.654136805,"(47.654136805, -122.312178882)","","","","",0.00428765986640143
"63","88181",4.94083024501526e-314,9.93245734743699e-315,"40","ASSAULTS, OTHER","ASSAULTS","ASSAULTS","10/08/2010 02:05:00 AM","17XX BLOCK OF NE PACIFIC ST","U","U2","5302.2000",-122.309118314,47.65130139,"(47.65130139, -122.309118314)","","","","",0.00390411650167963
"64","88852",4.94083075834946e-314,9.93246248077905e-315,"460","TRAFFIC (MOVING) VIOLATION","TRAFFIC RELATED CALLS","TRAFFIC RELATED CALLS","10/08/2010 09:11:00 PM","XX BLOCK OF UNIVERSITY WAY NE","U","U2","5302.1008",-122.313265227,47.656101533,"(47.656101533, -122.313265227)","","","","",0.00538430893482832
"65","89680",4.94083132207837e-314,9.93246811806807e-315,"430","ACCIDENT INVESTIGATION","TRAFFIC RELATED CALLS","ACCIDENT INVESTIGATION","10/09/2010 08:41:00 PM","37XX BLOCK OF UNIVERSITY WAY NE","U","U2","5302.2002",-122.313346416,47.65308443,"(47.65308443, -122.313346416)","","","","",0.00570436461019069
"66","89937",4.94083153798505e-314,9.93247027713494e-315,"40","ASSAULTS, OTHER","ASSAULTS","ASSAULTS","10/10/2010 05:38:00 AM","17XX BLOCK OF NE PACIFIC ST","U","U2","5302.2000",-122.309118314,47.65130139,"(47.65130139, -122.309118314)","","","","",0.00390411650167963
"67","90001",4.94083160863644e-314,9.93247098364881e-315,"40","ASSAULTS, OTHER","ASSAULTS","ASSAULTS","10/10/2010 09:26:00 AM","19XX BLOCK OF NE PACIFIC PL","U","U2","5302.3004",-122.305716379,47.650626898,"(47.650626898, -122.305716379)","","","","",0.00496120354148133
"68","90454",4.94083191742747e-314,9.9324740715591e-315,"74","LICENSE PLATE THEFT OR LOSS","CAR PROWL","CAR PROWL","10/11/2010 12:13:00 AM","XX BLOCK OF 15TH AVE NE","U","U2","5302.1008",-122.312131457,47.65609051,"(47.65609051, -122.312131457)","","","","",0.00427601463105893
"69","90884",4.94083219212797e-314,9.93247681856409e-315,"430","ACCIDENT INVESTIGATION","TRAFFIC RELATED CALLS","ACCIDENT INVESTIGATION","10/11/2010 02:14:00 PM","38XX BLOCK OF MONTLAKE BLVD NE","U","U2","5302.3000",-122.302931725,47.653002027,"(47.653002027, -122.302931725)","","","","",0.00544986159295662
"70","90971",4.9408323210791e-314,9.93247810807543e-315,"280","SUSPICIOUS PERSON","SUSPICIOUS CIRCUMSTANCES","SUSPICIOUS CIRCUMSTANCES","10/11/2010 03:51:00 PM","41XX BLOCK OF UNIVERSITY WAY NE","U","U2","5301.4000",-122.313226588,47.657574535,"(47.657574535, -122.313226588)","","","","",0.00582127925941428
"71","91317",4.94083254192645e-314,9.93248031654886e-315,"460","TRAFFIC (MOVING) VIOLATION","TRAFFIC RELATED CALLS","TRAFFIC RELATED CALLS","10/11/2010 10:29:00 PM","15XX BLOCK OF NE STEVENS WAY","U","U2","5302.3003",-122.310617335,47.659767458,"(47.659767458, -122.310617335)","","","","",0.00541169429901776
"72","91922",4.94083307008262e-314,9.93248559811062e-315,"65","THEFT - MISCELLANEOUS","THEFT","OTHER PROPERTY","10/12/2010 08:24:00 PM","14XX BLOCK OF NE 42ND ST","U","U2","5302.3003",-122.312639209,47.658308155,"(47.658308155, -122.312639209)","","","","",0.00568655979514155
"73","92139",4.94083319853969e-314,9.9324868826813e-315,"280","SUSPICIOUS PERSON","SUSPICIOUS CIRCUMSTANCES","SUSPICIOUS CIRCUMSTANCES","10/12/2010 11:26:00 PM","42XX BLOCK OF 15TH AVE NE","U","U2","5302.3003",-122.31205179,47.659041293,"(47.659041293, -122.31205179)","","","","",0.00570516192478249
"74","92617",4.94083341395231e-314,9.93248903680751e-315,"42","HARASSMENT, THREATS - BY TELEPHONE, WRITING","THREATS, HARASSMENT","THREATS, HARASSMENT","10/13/2010 12:45:00 PM","41XX BLOCK OF UNIVERSITY WAY NE","U","U2","5301.3009",-122.313226588,47.657574535,"(47.657574535, -122.313226588)","","","","",0.00582127925941428
"75","93001",4.94083379734725e-314,9.93249287075693e-315,"460","TRAFFIC (MOVING) VIOLATION","TRAFFIC RELATED CALLS","TRAFFIC RELATED CALLS","10/13/2010 11:32:00 PM","41XX BLOCK OF UNIVERSITY WAY NE","U","U2","5301.4000",-122.313226588,47.657574535,"(47.657574535, -122.313226588)","","","","",0.00582127925941428
